experiment,fold,class,precision,recall,f1_score
drive_global_total_kfold,2,1,0.0,0.0,0.0
drive_global_total_kfold,2,2,0.78,0.3939393939393939,0.5234899328859061
drive_global_total_kfold,2,3,0.7073170731707317,0.5420560747663551,0.6137566137566136
drive_global_total_kfold,2,4,0.6779661016949152,0.625,0.6504065040650406
drive_global_total_kfold,2,5,0.8571428571428571,0.3333333333333333,0.48
drive_global_total_kfold,2,6,0.5236486486486487,0.8659217877094972,0.6526315789473685
drive_global_total_kfold,3,0,0.5276381909547738,0.7954545454545454,0.634441087613293
drive_global_total_kfold,3,1,0.0,0.0,0.0
drive_global_total_kfold,3,2,0.975609756097561,0.37383177570093457,0.5405405405405405
drive_global_total_kfold,3,3,0.48863636363636365,0.5375,0.5119047619047619
drive_global_total_kfold,3,4,0.45454545454545453,0.24193548387096775,0.3157894736842105
drive_global_total_kfold,3,5,0.3333333333333333,0.08571428571428572,0.13636363636363638
drive_global_total_kfold,3,6,0.5217391304347826,0.5373134328358209,0.5294117647058824
drive_global_total_kfold,4,0,0.8739837398373984,0.7678571428571429,0.817490494296578
drive_global_total_kfold,4,1,0.7,0.28,0.4
drive_global_total_kfold,4,2,0.6263736263736264,0.6627906976744186,0.6440677966101694
drive_global_total_kfold,4,3,0.717948717948718,0.875,0.7887323943661971
drive_global_total_kfold,4,4,0.7758620689655172,0.7377049180327869,0.7563025210084033
drive_global_total_kfold,4,5,0.8421052631578947,0.45714285714285713,0.5925925925925926
drive_global_total_kfold,4,6,0.690677966101695,0.8402061855670103,0.7581395348837209
drive_global_arm_kfold,0,0,0.4041916167664671,0.9375,0.5648535564853556
drive_global_arm_kfold,0,1,0.0,0.0,0.0
drive_global_arm_kfold,0,2,0.0,0.0,0.0
drive_global_arm_kfold,0,3,0.5,0.20689655172413793,0.2926829268292683
drive_global_arm_kfold,0,4,0.39705882352941174,0.42857142857142855,0.41221374045801523
drive_global_arm_kfold,0,5,1.0,0.1111111111111111,0.19999999999999998
drive_global_arm_kfold,0,6,0.0,0.0,0.0
drive_global_arm_kfold,1,0,0.6818181818181818,0.8171206225680934,0.7433628318584069
drive_global_arm_kfold,1,1,1.0,0.043478260869565216,0.08333333333333333
drive_global_arm_kfold,1,2,0.8225806451612904,0.5425531914893617,0.6538461538461539
drive_global_arm_kfold,1,3,0.6528925619834711,0.7053571428571429,0.6781115879828326
drive_global_arm_kfold,1,4,0.6,0.46875,0.5263157894736842
drive_global_arm_kfold,1,5,0.7105263157894737,0.7105263157894737,0.7105263157894737
drive_global_arm_kfold,1,6,0.6326530612244898,0.6595744680851063,0.6458333333333333
drive_global_arm_kfold,2,0,0.8929889298892989,0.9272030651340997,0.9097744360902256
drive_global_arm_kfold,2,1,0.7931034482758621,0.6388888888888888,0.7076923076923076
drive_global_arm_kfold,2,2,0.8375,0.7613636363636364,0.7976190476190477
drive_global_arm_kfold,2,3,0.958904109589041,0.7777777777777778,0.8588957055214723
drive_global_arm_kfold,2,4,0.9387755102040817,0.8363636363636363,0.8846153846153846
drive_global_arm_kfold,2,5,0.8518518518518519,0.7419354838709677,0.7931034482758621
